qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

r,G(r)
9.940001,0.80143344
9.95,1.0736716
9.96,1.3347131
9.97,1.5762799
9.9800005,1.790362
9.99,1.9695522
10.0,2.1074822
10.01,2.1990938
10.02,2.240963
10.03,2.231542
10.04,2.1712291
10.05,2.062447
10.06,1.909534
10.07,1.7186382
10.08,1.4973546
10.09,1.254506
10.1,0.99969333
10.11,0.74287325
10.12,0.49383318
10.13,0.26187974
10.14,0.055342816
10.15,-0.11879209
10.16,-0.25518528
10.17,-0.35029745
10.18,-0.40256324
10.19,-0.41237935
10.2,-0.38206732
10.21,-0.3156665
10.22,-0.2186839
10.23,-0.09780563
10.24,0.03950738
10.25,0.18535163
10.259999,0.33184177
10.2699995,0.47145385
10.28,0.5974438
10.29,0.70405364
10.3,0.7868233
10.309999,0.8427597
10.32,0.8704012
10.33,0.8698392
10.34,0.8426219
10.349999,0.7916646
10.36,0.7209886
10.37,0.6355098
10.38,0.54071265
10.389999,0.4423856
10.4,0.34625015
10.409999,0.25771627
10.42,0.18157494
10.429999,0.12178792
10.44,0.081256405
10.45,0.061746765
10.46,0.063802615
10.469999,0.08672981
10.48,0.12865548
10.49,0.18665083
10.5,0.2568923
10.509999,0.334837
10.5199995,0.4155081
10.53,0.49372533
10.54,0.5643303
10.549999,0.6224851
10.56,0.6639078
10.570001,0.6850296
10.580001,0.6832593
10.59,0.65700823
10.6,0.6058416
10.610001,0.530461
10.620001,0.4326956
10.629999,0.31541553
10.64,0.18236198
10.650001,0.03803099
10.660001,-0.11257211
10.67,-0.26413557
10.68,-0.41136584
10.690001,-0.5491256
10.7,-0.67274815
10.71,-0.7782072
10.72,-0.86236274
10.7300005,-0.923017
10.740001,-0.95907485
10.75,-0.9705256
10.76,-0.9584704
10.77,-0.9250074
10.780001,-0.87312156
10.79,-0.80650556
10.8,-0.72932684
10.81,-0.6460149
10.820001,-0.5609937
10.83,-0.4784224
10.84,-0.401959
10.849999,-0.3345586
10.860001,-0.27827287
10.87,-0.23417147
10.88,-0.2022127
10.89,-0.1813273
10.900001,-0.1694087
10.91,-0.16346234
10.92,-0.15979873
10.93,-0.15424299
10.940001,-0.14241661
10.95,-0.11998808
10.96,-0.08297393
10.97,-0.028033702
10.9800005,0.047322184
10.99,0.1444938
11.000001,0.26371118
11.01,0.40384936
11.02,0.56252205
11.03,0.7360458
11.04,0.9197077
11.05,1.1078233
11.06,1.2940705
11.07,1.4717587
11.08,1.6342051
11.09,1.7749722
11.1,1.8882654
11.11,1.9691927
11.12,2.014034
11.13,2.0204232
11.14,1.9874623
11.150001,1.9158233
11.16,1.807636
11.17,1.6664739
11.18,1.4971418
11.19,1.3054692
11.2,1.0979463
11.21,0.8815449
11.220001,0.66329765
11.23,0.45004925
11.24,0.24802062
11.25,0.06272212
11.26,-0.10138554
11.2699995,-0.240996
11.28,-0.35413465
11.29,-0.44005737
11.3,-0.4992979
11.309999,-0.53351766
11.32,-0.5454042
11.33,-0.5384067
11.34,-0.5165222
11.349999,-0.4840714
11.36,-0.44542596
11.370001,-0.40479255
11.38,-0.3659808
11.389999,-0.33225018
